rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"2-комн. кв., 85 м2",от агента,60 000 сом/мес.,1187,,"Бишкек, Парк Панфилова/Спартак, Панфилова/Фрунзе",Панфилов-3,10 этаж из 10,полностью меблирована,элитка,монолитный,Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/712553865b38ee862a085-30727162
"2-комн. кв., 55 м2",от агента,52 058 сом/мес.,511,1,"Бишкек, Магистраль",,10 этаж из 12,,элитка,монолитный,Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/10607465a8d525b380b9-07032303
"2-комн. кв., 78 м2",от агента,112 793 сом/мес.,511,,"Бишкек, Магистраль, Токомбаева/Сухэ-Батора",Монако,2 этаж из 15,,элитка,"монолитный, 2020 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/707504965c1c1fd671ce0-77249208
"2-комн. кв., 80 м2",от агента,60 735 сом/мес.,536,,"Бишкек, Мед. академия",,7 этаж из 9,,элитка,монолитный,Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/389145665a8d4623efe95-92506432
"3-комн. кв., 58 м2",от агента,45 000 сом/мес.,536,,"Бишкек, 3 м-н",,3 этаж из 4,,104 серия,"панельный, 1989 г.",Добавлено 5 дней назад,среднее,https://www.house.kg/details/950806365c1c00c048193-71630516
"2-комн. кв., 90 м2",от агента,69 411 сом/мес.,1420,,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Асанбай Ордо,4 этаж из 8,,элитка,"монолитный, 2021 г.",Добавлено 8 дней назад,евроремонт,https://www.house.kg/details/746900165be0749b1e249-52358557
"3-комн. кв., 65 м2",от агента,52 058 сом/мес.,586,,"Бишкек, Джал-23 м-н (Нижний Джал)",,6 этаж из 9,,106 серия,панельный,Добавлено 8 дней назад,хорошее,https://www.house.kg/details/710536965be06abb1af55-92685302
"3-комн. кв., 120 м2",от агента,156 174 сом/мес.,300,,"Бишкек, ЦУМ, Киевская 76/Тыныстанова",Bay Tash Tower,17 этаж из 19,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/40066816579e421b12da0-79927056
"2-комн. кв., 65 м2",от агента,56 396 сом/мес.,1804,1,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",Магнат,6 этаж из 10,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 10 дней назад,евроремонт,https://www.house.kg/details/104274365bbe72b05db38-12820527
"4-комн. кв., 150 м2",от агента,156 174 сом/мес.,82,,"Бишкек, Золотой квадрат, Орозбекова 32/Московская",,4 этаж из 9,полностью меблирована,элитка,"кирпичный, 2012 г.",Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/302797865b38530812018-47660329
"2-комн. кв., 83 м2",от агента,138 822 сом/мес.,1396,2,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,3 этаж из 8,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/397742965a3af023a9ae8-64079191
"1-комн. кв., 40 м2",от собственника,2 500 сом/сутки,1898,13,"Бишкек, Восток-5 м-н 25б",,4 этаж из 9,полностью меблирована,105 серия,кирпичный,Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/387254464ca634d333d19-12324581
"1-комн. кв., 45 м2",от собственника,3 037 сом/сутки,1175,2,"Бишкек, Восток-5 м-н 25б",,4 этаж из 9,полностью меблирована,105 серия,кирпичный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/6819643651d9bba4ebbf3-76663303
"1-комн. кв., 35 м2",от собственника,2 500 сом/сутки,17806,47,"Бишкек, Московская/Калыка Акиева",,6 этаж из 9,полностью меблирована,104 серия улучшенная,кирпичный,Добавлено 4 года назад,хорошее,https://www.house.kg/details/45668285e1735a2e80c76-75717504
"1-комн. кв., 33 м2",от собственника,2 000 сом/сутки,3815,9,"Бишкек, Московская - Уметалиева, Московская 194/Уметалиева",,1 этаж из 5,,105 серия,панельный,Добавлено 10 месяцев назад,хорошее,https://www.house.kg/details/94742036430f1df5f5b07-47004650
"1-комн. кв., 33 м2",от собственника,2 500 сом/сутки,11960,24,"Бишкек, Московская/Уметалиева",,1 этаж из 5,полностью меблирована,105 серия,кирпичный,Добавлено 3 года назад,евроремонт,https://www.house.kg/details/7596855f8de896a860b5-46697423
"3-комн. кв., 100 м2",от агента,69 411 сом/мес.,958,,"Бишкек, Советская - Скрябина, Советская",,4 этаж из 10,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/9555811657962702dca88-19193863
"2-комн. кв., 85 м2",от агента,86 764 сом/мес.,1131,1,"Бишкек, Ак Кеме, Минжилкиева 117",Жилой комплекс «IHLAS Residence»,8 этаж из 13,,элитка,"монолитный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/2261071659ba9e786c2d3-77477081
"3-комн. кв., 70 м2",от агента,50 000 сом/мес.,883,5,"Бишкек, Московская - Уметалиева",,5 этаж из 9,,106 серия,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/993117565992cc65be3e6-73660699
"1-комн. кв., 42 м2",от собственника,2 200 сом/сутки,54,1,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",Family house,9 этаж из 9,,элитка,монолитный,Добавлено 22 часа назад,евроремонт,https://www.house.kg/details/366714365c78ec2bcd289-13662605
"3-комн. кв., 70 м2",от агента,50 000 сом/мес.,2878,1,"Бишкек, Московская - Уметалиева",,5 этаж из 9,,106 серия,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/2199453658bddd171c507-16713336
"1-комн. кв., 36 м2",от собственника,43 382 сом/мес.,1677,7,"Бишкек, Магистраль",,3 этаж из 12,,элитка,"кирпичный, 2022 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/7153036659ac3f3e59642-31244981
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,569,,"Бишкек, Магистраль, Южная Магистраль","ЖК ""Кунгей""",4 этаж из 10,,элитка,"монолитный, 2018 г.",Добавлено 10 дней назад,евроремонт,https://www.house.kg/details/731953165bb25420855e8-16490333
"1-комн. кв., 42 м2",от собственника,86 764 сом/мес.,1319,2,"Бишкек, Восток-5 м-н 25б",,4 этаж из 9,полностью меблирована,105 серия,кирпичный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/8554830651d9cd6cf73c0-10402544
"3-комн. кв., 95 м2",от агента,86 764 сом/мес.,895,,"Бишкек, КНУ, К. Акиева/Жумабека",Мурас,10 этаж из 10,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 27 дней назад,евроремонт,https://www.house.kg/details/762962765a4df28aa5769-40646924
"2-комн. кв., 78 м2",от агента,112 793 сом/мес.,233,,"Бишкек, Магистраль, Токомбаева/Сухэ-Батора",Монако,3 этаж из 15,,элитка,"монолитный, 2020 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/818501165c226a904f389-38702747
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,709,4,"Бишкек, Ак Кеме, Минжилкиева 117",Жилой комплекс «IHLAS Residence»,5 этаж из 13,,элитка,"монолитный, 2019 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/9683441657bd794841122-65779325
"2-комн. кв., 70 м2",от агента,69 411 сом/мес.,708,,"Бишкек, Юг-2 м-н",,7 этаж из 13,,элитка,монолитный,Добавлено 9 дней назад,евроремонт,https://www.house.kg/details/279228665bcb5b9e4b258-22769778
"2-комн. кв., 58 м2",от собственника,40 000 сом/мес.,857,,"Бишкек, Молодая Гвардия,  ул Калык Акиева/Рыскулова",,2 этаж из 5,полностью меблирована,индивид. планировка,кирпичный,Добавлено 3 дня назад,евроремонт,https://www.house.kg/details/567397865c4844d7d6d62-23145180
"2-комн. кв., 80 м2",от агента,60 735 сом/мес.,519,,"Бишкек, Юг-2 м-н",,7 этаж из 9,,элитка,кирпичный,Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/36728665af7fa5bdbf62-43565686
"2-комн. кв., 55 м2",от агента,52 058 сом/мес.,831,,"Бишкек, Магистраль, Токомбаева 19/1",Асанбай Парк,10 этаж из 10,,элитка,"монолитный, 2017 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/905975265af7e34b95835-84923923
"2-комн. кв., 45 м2",от агента,39 044 сом/мес.,730,3,"Бишкек, Средний Джал м-н, мкр Джал-23 18/2","ЖК-Джал-23, Блок Б",7 этаж из 12,,элитка,"монолитный, 2020 г.",Добавлено 19 дней назад,евроремонт,https://www.house.kg/details/1201465af50716cf225-36378479
"2-комн. кв., 80 м2",от агента,60 735 сом/мес.,522,1,"Бишкек, Асанбай м-н",,7 этаж из 10,,элитка,кирпичный,Добавлено 23 дня назад,евроремонт,https://www.house.kg/details/59578665aa0cc6bf3703-60913207
"2-комн. кв., 44 м2",от агента,45 000 сом/мес.,1186,1,"Бишкек, Дворец спорта",,2 этаж из 5,,104 серия,панельный,Добавлено 25 дней назад,хорошее,https://www.house.kg/details/375750865a78dabb40554-12328257
"2-комн. кв., 76 м2",от агента,50 000 сом/мес.,1916,1,"Бишкек, Азия Молл",,8 этаж из 12,,элитка,монолитный,Добавлено 22 дня назад,евроремонт,https://www.house.kg/details/57757265ab61a313ac85-24950498
"3-комн. кв., 68 м2",от агента,50 000 сом/мес.,796,,"Бишкек, Асанбай м-н 41",,3 этаж из 5,полностью меблирована,105 серия,"панельный, 2000 г.",Добавлено 23 дня назад,среднее,https://www.house.kg/details/835896065aa18f5344f76-05484360
"2-комн. кв., 69 м2",от агента,55 000 сом/мес.,621,,"Бишкек, Магистраль, Токомбаева 27",Bristol,2 этаж из 9,полностью меблирована,элитка,"монолитный, 2012 г.",Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/224812365b3d87c7cf419-65415315
"2-комн. кв., 70 м2",от агента,52 058 сом/мес.,877,,"Бишкек, Мед. академия",,9 этаж из 10,,элитка,кирпичный,Добавлено 27 дней назад,евроремонт,https://www.house.kg/details/42038265a4cb31c46900-06276393
"2-комн. кв., 70 м2",от агента,52 058 сом/мес.,1135,2,"Бишкек, Филармония",,5 этаж из 10,,элитка,кирпичный,Добавлено 27 дней назад,евроремонт,https://www.house.kg/details/385693065a4c66c28fc75-03340821
"3-комн. кв., 97 м2",от агента,86 764 сом/мес.,387,1,"Бишкек, Госрегистр",,9 этаж из 12,,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/4569372659cfd25336748-19452011
"1-комн. кв., 60 м2",от агента,40 000 сом/мес.,561,3,"Бишкек, Средний Джал м-н",,5 этаж из 11,,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/1509164659cfbddb8ed35-39205957
"3-комн. кв., 100 м2",от собственника,73 749 сом/мес.,300,,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1","Жилой дом по ул. Московская, 191",5 этаж из 12,полностью меблирована,элитка,"кирпичный, 2016 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/8682920659f8f30e27582-80748627
"3-комн. кв., 119 м2",от агента,112 793 сом/мес.,375,,"Бишкек, 12 м-н",,2 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/1779567659cfad88a9b49-60095479
"1-комн. кв., 59 м2",от агента,45 000 сом/мес.,434,,"Бишкек, Юг-2 м-н",,2 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/6852072659cf92c8b39c8-11565157
"1-комн. кв., 44 м2",от агента,30 000 сом/мес.,2031,3,"Бишкек, Верхний Джал м-н",,6 этаж из 9,,106 серия,панельный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/99305456596460953aa13-04257889
"2-комн. кв., 70 м2",от агента,53 793 сом/мес.,1242,,"Бишкек, Мед. академия",,6 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/950643465964377e9feb4-52768086
"2-комн. кв., 50 м2",от агента,69 411 сом/мес.,992,,"Бишкек, Бишкек-Парк, Чуйкова/Коенкозова",,6 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/353818165964205e5eee0-12537307
"1-комн. кв., 50 м2",от агента,53 000 сом/мес.,891,,"Бишкек, 7 м-н",,8 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/163353065963b761734d0-53353269
"1-комн. кв., 50 м2",от агента,53 000 сом/мес.,892,,"Бишкек, 7 м-н",,8 этаж из 10,,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/163353065963b761734d0-53353269
"2-комн. кв., 76 м2",от агента,60 000 сом/мес.,1999,,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Жилой комплекс «Ботанический сад»,8 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 25 дней назад,евроремонт,https://www.house.kg/details/877985065a7af78b9a584-03175860
"2-комн. кв., 50 м2",от агента,52 058 сом/мес.,1141,4,"Бишкек, Золотой квадрат, Чуйкова/Коенкозова",,7 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/227334965854b8b411757-30660074
"2-комн. кв., 70 м2",от агента,60 735 сом/мес.,753,,"Бишкек, Военторг, Токтогула 147",Bereke Residence,7 этаж из 11,,элитка,"монолитный, 2016 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/14376026585416cbd2d11-40534307
"2-комн. кв., 78 м2",от агента,69 411 сом/мес.,627,,"Бишкек, 4 м-н",,10 этаж из 12,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/976017465853f4a324085-05539896
"4-комн. кв., 200 м2",от агента,95 440 сом/мес.,620,1,"Бишкек, Золотой квадрат",,6 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/26109226585245436d617-38338896
"3-комн. кв., 100 м2",от агента,73 749 сом/мес.,1098,2,"Бишкек, Асанбай м-н",,7 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/107319765841368177703-27169349
"2-комн. кв., 53 м2",от агента,52 058 сом/мес.,1846,,"Бишкек, Молодая Гвардия",,9 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/338896584051932e0f6-56187784
"2-комн. кв., 50 м2",от агента,69 411 сом/мес.,1965,,"Бишкек, Бишкек-Парк",,6 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/527253765840075e0e051-32748577
"4-комн. кв., 200 м2",от агента,173 527 сом/мес.,1201,1,"Бишкек, 8 м-н, Жукеева/Пудовкина",,8 этаж из 14,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/77957656583eb3b7dad24-93763938
"3-комн. кв., 88 м2",от агента,45 000 сом/мес.,786,4,"Бишкек, Асанбай м-н",,3 этаж из 9,,106 серия,панельный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/52272866582c0dd8b0030-71856560
"6 и более комнат кв., 226 м2",от агента,216 909 сом/мес.,4114,1,"Бишкек, 11 м-н, Айтиева 12/Жетикашкаева",,5 этаж из 5,полностью меблирована,индивид. планировка,кирпичный,Добавлено 15 дней назад,евроремонт,https://www.house.kg/details/655956565b513eca92785-78197526
"3-комн. кв., 150 м2",от агента,86 764 сом/мес.,226,,"Бишкек, Площадь Победы, Огонбаева 222",,5 этаж из 7,полностью меблирована,индивид. планировка,кирпичный,Добавлено 5 месяцев назад,хорошее,https://www.house.kg/details/990351464f43c246af648-89891236
"3-комн. кв., 105 м2",от агента,60 735 сом/мес.,3565,,"с. Кок-Джар, Алма-Aтинская 6/1/Токомбаева",Искендер,3 этаж из 9,частично меблирована,элитка,монолитный,Добавлено 22 дня назад,евроремонт,https://www.house.kg/details/296790965abe04a44d174-06504630
"2-комн. кв., 70 м2",от собственника,56 396 сом/мес.,6,,"Бишкек, Джал-29 м-н, Ахунбаева/Тыналиева","Жилой комплекс ""IHLAS-Джал+""",7 этаж из 12,полностью меблирована,элитка,"кирпичный, 2021 г.",Добавлено 1 час назад,евроремонт,https://www.house.kg/details/613531665c8af2345f339-45299597
"3-комн. кв., 105 м2",от агента,60 735 сом/мес.,607,3,"с. Кок-Джар, Алма-Aтинская 6/2/Токомбаева",Искендер,9 этаж из 9,полностью меблирована,элитка,монолитный,Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/501779365659ae2dd6265-69525808
"3-комн. кв., 120 м2",от агента,86 764 сом/мес.,2581,1,"Бишкек, Академия Наук, Уметалиева 98",Илим Плюс,7 этаж из 10,,элитка,"монолитный, 2016 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/9806837658270a579f881-09417615
"1-комн. кв., 44 м2",от собственника,3 000 сом/сутки,1508,1,"Бишкек, Карпинка,  ул.Суюмбаева, 59",Жилой дом «Карпинка»,4 этаж из 12,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/571314765b39a0e7aa7f5-20348167
"2-комн. кв., 44 м2",от собственника,2 600 сом/сутки,657,,"Бишкек, КНУ,  ул. Жумабека 219","ЖК "" City Grand""",5 этаж из 10,полностью меблирована,элитка,монолитный,Добавлено 16 дней назад,евроремонт,https://www.house.kg/details/693152265b3e9f6afd512-79266611
"1-комн. кв., 50 м2",от собственника,2 600 сом/сутки,1047,2,"Бишкек, 6 м-н,  ул. каралаева 64","ЖК "" City Grand""",8 этаж из 10,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 17 дней назад,евроремонт,https://www.house.kg/details/454202665b2ac27263095-11320104
"2-комн. кв., 60 м2",от агента,69 411 сом/мес.,2507,1,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Avangard City,2 этаж из 14,,элитка,"монолитный, 2022 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/10078665826f9e379bd3-42396450
"1-комн. кв., 33 м2",от агента,35 000 сом/мес.,297,,"Бишкек, Ошский рынок",,4 этаж из 5,,105 серия,панельный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/330287765826e2913ac00-08253017
"3-комн. кв., 119 м2",от агента,86 764 сом/мес.,2078,,"Бишкек, Золотой квадрат, Разакова/Туголбай Ата",,3 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/542894165826b7a639005-57492527
"3-комн. кв., 122 м2",от агента,86 764 сом/мес.,2137,,"Бишкек, Юг-2 м-н",,7 этаж из 15,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/533862365826ab2f09698-04868063
"2-комн. кв., 78 м2",от агента,60 735 сом/мес.,1924,1,"Бишкек, Карла Маркса, Юнусалиева 141","Жилой дом ""Астория""",8 этаж из 12,,элитка,"монолитный, 2020 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/16183465826793433a58-33599326
"1-комн. кв., 28 м2",от собственника,30 000 сом/мес.,1585,5,"Бишкек, Гагарина, Купянская 32/7/Гагарина",,5 этаж из 6,полностью меблирована,индивид. планировка,"кирпичный, 2020 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/23419516560960e2fbce8-85093298
"2-комн. кв., 70 м2",от агента,45 000 сом/мес.,707,1,"Бишкек, Тунгуч м-н, Исакеева 18",,3 этаж из 8,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/6731183658003b87b2307-67971021
"2-комн. кв., 72 м2",от агента,60 735 сом/мес.,574,2,"Бишкек, Магистраль, Токтоналиева",,9 этаж из 9,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/8108255657fd564d08705-65345173
"2-комн. кв., 60 м2",от агента,43 382 сом/мес.,657,3,"Бишкек, 5 м-н, Карла Маркса/Донецкая",,10 этаж из 12,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/6447536657fd389a487e2-67120445
"2-комн. кв., 58 м2",от агента,47 720 сом/мес.,439,,"Бишкек, Алматинка - Магистраль, Магистраль/Ч. Айтматова",,6 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/4611004657fd04e71fe66-43019585
"3-комн. кв., 80 м2",от агента,78 087 сом/мес.,3317,,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",3 этаж из 17,,элитка,"монолитный, 2019 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/9028866657d739fee0365-70009872
"1-комн. кв., 45 м2",от агента,73 749 сом/мес.,1512,,"Бишкек, Карпинка, Фрунзе 300/3/Гоголя","Жилой комплекс ""Империал""",7 этаж из 17,,элитка,"монолитный, 2019 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/3610222657d72433c0d07-30042550
"2-комн. кв., 75 м2",от агента,60 735 сом/мес.,1417,1,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",Поларис Плюс,6 этаж из 10,,элитка,"монолитный, 2020 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/417134657d704458df10-15800213
"2-комн. кв., 80 м2",от агента,65 073 сом/мес.,1094,5,"Бишкек, Ак Кеме",,3 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/5263065657c30b68e1e43-59154895
"1-комн. кв., 38 м2",от агента,43 382 сом/мес.,821,1,"Бишкек, ЖД вокзал, Чуйкова/Гоголя",,1 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/3323688657c284a8755a5-87728622
"2-комн. кв., 75 м2",от агента,69 411 сом/мес.,648,2,"Бишкек, Ак Кеме, Минжилкиева 117",Жилой комплекс «IHLAS Residence»,5 этаж из 13,,элитка,"монолитный, 2019 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/4090989657c2644e37d20-46594282
"1-комн. кв., 42 м2",от агента,29 760 сом/мес.,1333,7,"Бишкек, 12 м-н",,5 этаж из 9,,элитка,монолитный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/9379185657c239c23c163-24671638
"2-комн. кв., 50 м2",от агента,52 058 сом/мес.,988,5,"Бишкек, Золотой квадрат, Чуйкова/Коенкозова",,7 этаж из 10,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/6308592657c22320b10f4-26223902
"1-комн. кв., 32 м2",от агента,40 000 сом/мес.,760,2,"Бишкек, 10 м-н, Малдыбаева",,2 этаж из 4,,104 серия,панельный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/4742244657c1f95aee7b6-87682243
"2-комн. кв., 85 м2",от собственника,3 500 сом/сутки,2765,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",София,5 этаж из 9,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 11 месяцев назад,хорошее,https://www.house.kg/details/509200564240a50af6456-91099176
